canonical_folder_or_path,schema,market,year,pair,approval_packet_decision,policy_problem,proposed_manifest_policy_patch_summary,alternative_decision,user_approval_required_before_manifest_edit,cleanup_gate_remains_blocked,evidence_source,evidence_detail
data/dbn/status,status,6A,2014,6A:2014,MANIFEST_FIX_RECOMMENDED,"configs/data_manifest.yaml requires complete status DBN coverage, while lineage says status is optional enrichment for Phase 1B and not required for the bounded Phase 1A/1B/1C/2 restart smoke.","With explicit approval, mark status missing pairs optional/deferred for cleanup-gate purposes, or add these status pairs to allowed_missing_pairs with a documented optional-enrichment rationale.",KEEP_MANIFEST_REQUIREMENT_AND_REPAIR if the user wants full status coverage before cleanup evaluation.,true,true,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml,expected by manifest but absent from filename inventory
data/dbn/status,status,6B,2014,6B:2014,MANIFEST_FIX_RECOMMENDED,"configs/data_manifest.yaml requires complete status DBN coverage, while lineage says status is optional enrichment for Phase 1B and not required for the bounded Phase 1A/1B/1C/2 restart smoke.","With explicit approval, mark status missing pairs optional/deferred for cleanup-gate purposes, or add these status pairs to allowed_missing_pairs with a documented optional-enrichment rationale.",KEEP_MANIFEST_REQUIREMENT_AND_REPAIR if the user wants full status coverage before cleanup evaluation.,true,true,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml,expected by manifest but absent from filename inventory
data/dbn/status,status,6C,2010,6C:2010,MANIFEST_FIX_RECOMMENDED,"configs/data_manifest.yaml requires complete status DBN coverage, while lineage says status is optional enrichment for Phase 1B and not required for the bounded Phase 1A/1B/1C/2 restart smoke.","With explicit approval, mark status missing pairs optional/deferred for cleanup-gate purposes, or add these status pairs to allowed_missing_pairs with a documented optional-enrichment rationale.",KEEP_MANIFEST_REQUIREMENT_AND_REPAIR if the user wants full status coverage before cleanup evaluation.,true,true,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml,expected by manifest but absent from filename inventory
data/dbn/status,status,6C,2011,6C:2011,MANIFEST_FIX_RECOMMENDED,"configs/data_manifest.yaml requires complete status DBN coverage, while lineage says status is optional enrichment for Phase 1B and not required for the bounded Phase 1A/1B/1C/2 restart smoke.","With explicit approval, mark status missing pairs optional/deferred for cleanup-gate purposes, or add these status pairs to allowed_missing_pairs with a documented optional-enrichment rationale.",KEEP_MANIFEST_REQUIREMENT_AND_REPAIR if the user wants full status coverage before cleanup evaluation.,true,true,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml,expected by manifest but absent from filename inventory
data/dbn/status,status,6C,2014,6C:2014,MANIFEST_FIX_RECOMMENDED,"configs/data_manifest.yaml requires complete status DBN coverage, while lineage says status is optional enrichment for Phase 1B and not required for the bounded Phase 1A/1B/1C/2 restart smoke.","With explicit approval, mark status missing pairs optional/deferred for cleanup-gate purposes, or add these status pairs to allowed_missing_pairs with a documented optional-enrichment rationale.",KEEP_MANIFEST_REQUIREMENT_AND_REPAIR if the user wants full status coverage before cleanup evaluation.,true,true,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml,expected by manifest but absent from filename inventory
data/dbn/status,status,6E,2012,6E:2012,MANIFEST_FIX_RECOMMENDED,"configs/data_manifest.yaml requires complete status DBN coverage, while lineage says status is optional enrichment for Phase 1B and not required for the bounded Phase 1A/1B/1C/2 restart smoke.","With explicit approval, mark status missing pairs optional/deferred for cleanup-gate purposes, or add these status pairs to allowed_missing_pairs with a documented optional-enrichment rationale.",KEEP_MANIFEST_REQUIREMENT_AND_REPAIR if the user wants full status coverage before cleanup evaluation.,true,true,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml,expected by manifest but absent from filename inventory
data/dbn/status,status,6E,2013,6E:2013,MANIFEST_FIX_RECOMMENDED,"configs/data_manifest.yaml requires complete status DBN coverage, while lineage says status is optional enrichment for Phase 1B and not required for the bounded Phase 1A/1B/1C/2 restart smoke.","With explicit approval, mark status missing pairs optional/deferred for cleanup-gate purposes, or add these status pairs to allowed_missing_pairs with a documented optional-enrichment rationale.",KEEP_MANIFEST_REQUIREMENT_AND_REPAIR if the user wants full status coverage before cleanup evaluation.,true,true,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml,expected by manifest but absent from filename inventory
data/dbn/status,status,6E,2014,6E:2014,MANIFEST_FIX_RECOMMENDED,"configs/data_manifest.yaml requires complete status DBN coverage, while lineage says status is optional enrichment for Phase 1B and not required for the bounded Phase 1A/1B/1C/2 restart smoke.","With explicit approval, mark status missing pairs optional/deferred for cleanup-gate purposes, or add these status pairs to allowed_missing_pairs with a documented optional-enrichment rationale.",KEEP_MANIFEST_REQUIREMENT_AND_REPAIR if the user wants full status coverage before cleanup evaluation.,true,true,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml,expected by manifest but absent from filename inventory
data/dbn/status,status,6J,2010,6J:2010,MANIFEST_FIX_RECOMMENDED,"configs/data_manifest.yaml requires complete status DBN coverage, while lineage says status is optional enrichment for Phase 1B and not required for the bounded Phase 1A/1B/1C/2 restart smoke.","With explicit approval, mark status missing pairs optional/deferred for cleanup-gate purposes, or add these status pairs to allowed_missing_pairs with a documented optional-enrichment rationale.",KEEP_MANIFEST_REQUIREMENT_AND_REPAIR if the user wants full status coverage before cleanup evaluation.,true,true,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml,expected by manifest but absent from filename inventory
data/dbn/status,status,6J,2014,6J:2014,MANIFEST_FIX_RECOMMENDED,"configs/data_manifest.yaml requires complete status DBN coverage, while lineage says status is optional enrichment for Phase 1B and not required for the bounded Phase 1A/1B/1C/2 restart smoke.","With explicit approval, mark status missing pairs optional/deferred for cleanup-gate purposes, or add these status pairs to allowed_missing_pairs with a documented optional-enrichment rationale.",KEEP_MANIFEST_REQUIREMENT_AND_REPAIR if the user wants full status coverage before cleanup evaluation.,true,true,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml,expected by manifest but absent from filename inventory
