canonical_folder_or_path,schema,market,year,pair,approval_packet_decision,phase_or_script_likely_responsible,script_path,smallest_bounded_repair_scope,expected_canonical_output_path,validation_command,stop_condition,prerequisite_or_dependency,user_approval_required_before_execution,cleanup_gate_remains_blocked,evidence_source,evidence_detail
data/raw/{market}/{year}.parquet,phase1b_raw_parquet,KE,2025,KE:2025,APPROVE_REPAIR_PLAN_REQUIRED,phase1B_convert,scripts/phase1B_convert/convert_databento_raw.py,"KE 2025 only, using existing canonical DBN ohlcv_1m and definition inputs if present",data/raw/KE/2025.parquet,python -m scripts.phase1C_validate.audit_raw_dbn_alignment --config <bounded-profile> --profile <bounded-profile> --dbn-root data/dbn --raw-root data/raw --expected-only,data/raw/KE/2025.parquet exists and bounded Phase 1C alignment passes for KE:2025,Confirm canonical DBN ohlcv_1m and definition inputs exist before conversion; do not redownload without separate approval.,true,true,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml,expected by manifest but absent from filename inventory
data/raw/{market}/{year}.parquet,phase1b_raw_parquet,KE,2026,KE:2026,APPROVE_REPAIR_PLAN_REQUIRED,phase1B_convert,scripts/phase1B_convert/convert_databento_raw.py,"KE 2026 only, using existing canonical DBN ohlcv_1m and definition inputs if present",data/raw/KE/2026.parquet,python -m scripts.phase1C_validate.audit_raw_dbn_alignment --config <bounded-profile> --profile <bounded-profile> --dbn-root data/dbn --raw-root data/raw --expected-only,data/raw/KE/2026.parquet exists and bounded Phase 1C alignment passes for KE:2026,Confirm canonical DBN ohlcv_1m and definition inputs exist before conversion; do not redownload without separate approval.,true,true,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml,expected by manifest but absent from filename inventory
data/raw/{market}/{year}.parquet,phase1b_raw_parquet,SR1,2025,SR1:2025,APPROVE_REPAIR_PLAN_REQUIRED,phase1B_convert,scripts/phase1B_convert/convert_databento_raw.py,"SR1 2025 only, using existing canonical DBN ohlcv_1m and definition inputs if present",data/raw/SR1/2025.parquet,python -m scripts.phase1C_validate.audit_raw_dbn_alignment --config <bounded-profile> --profile <bounded-profile> --dbn-root data/dbn --raw-root data/raw --expected-only,data/raw/SR1/2025.parquet exists and bounded Phase 1C alignment passes for SR1:2025,Confirm canonical DBN ohlcv_1m and definition inputs exist before conversion; do not redownload without separate approval.,true,true,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml,expected by manifest but absent from filename inventory
data/raw/{market}/{year}.parquet,phase1b_raw_parquet,SR1,2026,SR1:2026,APPROVE_REPAIR_PLAN_REQUIRED,phase1B_convert,scripts/phase1B_convert/convert_databento_raw.py,"SR1 2026 only, using existing canonical DBN ohlcv_1m and definition inputs if present",data/raw/SR1/2026.parquet,python -m scripts.phase1C_validate.audit_raw_dbn_alignment --config <bounded-profile> --profile <bounded-profile> --dbn-root data/dbn --raw-root data/raw --expected-only,data/raw/SR1/2026.parquet exists and bounded Phase 1C alignment passes for SR1:2026,Confirm canonical DBN ohlcv_1m and definition inputs exist before conversion; do not redownload without separate approval.,true,true,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml,expected by manifest but absent from filename inventory
data/raw/{market}/{year}.parquet,phase1b_raw_parquet,TN,2025,TN:2025,APPROVE_REPAIR_PLAN_REQUIRED,phase1B_convert,scripts/phase1B_convert/convert_databento_raw.py,"TN 2025 only, using existing canonical DBN ohlcv_1m and definition inputs if present",data/raw/TN/2025.parquet,python -m scripts.phase1C_validate.audit_raw_dbn_alignment --config <bounded-profile> --profile <bounded-profile> --dbn-root data/dbn --raw-root data/raw --expected-only,data/raw/TN/2025.parquet exists and bounded Phase 1C alignment passes for TN:2025,Confirm canonical DBN ohlcv_1m and definition inputs exist before conversion; do not redownload without separate approval.,true,true,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml,expected by manifest but absent from filename inventory
data/raw/{market}/{year}.parquet,phase1b_raw_parquet,TN,2026,TN:2026,APPROVE_REPAIR_PLAN_REQUIRED,phase1B_convert,scripts/phase1B_convert/convert_databento_raw.py,"TN 2026 only, using existing canonical DBN ohlcv_1m and definition inputs if present",data/raw/TN/2026.parquet,python -m scripts.phase1C_validate.audit_raw_dbn_alignment --config <bounded-profile> --profile <bounded-profile> --dbn-root data/dbn --raw-root data/raw --expected-only,data/raw/TN/2026.parquet exists and bounded Phase 1C alignment passes for TN:2026,Confirm canonical DBN ohlcv_1m and definition inputs exist before conversion; do not redownload without separate approval.,true,true,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml,expected by manifest but absent from filename inventory
data/raw/{market}/{year}.parquet,phase1b_raw_parquet,ZL,2025,ZL:2025,APPROVE_REPAIR_PLAN_REQUIRED,phase1B_convert,scripts/phase1B_convert/convert_databento_raw.py,"ZL 2025 only, using existing canonical DBN ohlcv_1m and definition inputs if present",data/raw/ZL/2025.parquet,python -m scripts.phase1C_validate.audit_raw_dbn_alignment --config <bounded-profile> --profile <bounded-profile> --dbn-root data/dbn --raw-root data/raw --expected-only,data/raw/ZL/2025.parquet exists and bounded Phase 1C alignment passes for ZL:2025,Confirm canonical DBN ohlcv_1m and definition inputs exist before conversion; do not redownload without separate approval.,true,true,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml,expected by manifest but absent from filename inventory
data/raw/{market}/{year}.parquet,phase1b_raw_parquet,ZL,2026,ZL:2026,APPROVE_REPAIR_PLAN_REQUIRED,phase1B_convert,scripts/phase1B_convert/convert_databento_raw.py,"ZL 2026 only, using existing canonical DBN ohlcv_1m and definition inputs if present",data/raw/ZL/2026.parquet,python -m scripts.phase1C_validate.audit_raw_dbn_alignment --config <bounded-profile> --profile <bounded-profile> --dbn-root data/dbn --raw-root data/raw --expected-only,data/raw/ZL/2026.parquet exists and bounded Phase 1C alignment passes for ZL:2026,Confirm canonical DBN ohlcv_1m and definition inputs exist before conversion; do not redownload without separate approval.,true,true,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml,expected by manifest but absent from filename inventory
data/raw/{market}/{year}.parquet,phase1b_raw_parquet,ZM,2025,ZM:2025,APPROVE_REPAIR_PLAN_REQUIRED,phase1B_convert,scripts/phase1B_convert/convert_databento_raw.py,"ZM 2025 only, using existing canonical DBN ohlcv_1m and definition inputs if present",data/raw/ZM/2025.parquet,python -m scripts.phase1C_validate.audit_raw_dbn_alignment --config <bounded-profile> --profile <bounded-profile> --dbn-root data/dbn --raw-root data/raw --expected-only,data/raw/ZM/2025.parquet exists and bounded Phase 1C alignment passes for ZM:2025,Confirm canonical DBN ohlcv_1m and definition inputs exist before conversion; do not redownload without separate approval.,true,true,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml,expected by manifest but absent from filename inventory
data/raw/{market}/{year}.parquet,phase1b_raw_parquet,ZM,2026,ZM:2026,APPROVE_REPAIR_PLAN_REQUIRED,phase1B_convert,scripts/phase1B_convert/convert_databento_raw.py,"ZM 2026 only, using existing canonical DBN ohlcv_1m and definition inputs if present",data/raw/ZM/2026.parquet,python -m scripts.phase1C_validate.audit_raw_dbn_alignment --config <bounded-profile> --profile <bounded-profile> --dbn-root data/dbn --raw-root data/raw --expected-only,data/raw/ZM/2026.parquet exists and bounded Phase 1C alignment passes for ZM:2026,Confirm canonical DBN ohlcv_1m and definition inputs exist before conversion; do not redownload without separate approval.,true,true,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml,expected by manifest but absent from filename inventory
