row_type,final_decision_class,schema,market,year,phase_script_likely_responsible,canonical_output_path,canonical_path,duplicate_path,likely_data_type,source_input_availability,expected_boundedness,repair_required_before_cleanup,explicit_deferral_safer,later_command_or_pattern,expected_inputs,expected_outputs,validation_command,stop_condition,overwrite_or_conflict_risk,validation_needed_before_future_action,explicit_approval_required_before_execution,cleanup_gate_remains_blocked,evidence
repair,APPROVE_BOUNDED_REPAIR_LATER,phase1b_raw_parquet,KE,2025,scripts/phase1B_convert/convert_databento_raw.py,data/raw/KE/2025.parquet,data/raw/KE/2025.parquet,,parquet canonical output,canonical ohlcv_1m and definition DBN coverage reported present; confirm before conversion; no redownload approved,"bounded to one market/year, local DBN input roots, one-year date range, no redownload, no phase 3+",true,false,python -m scripts.phase1B_convert.convert_databento_raw --symbols KE --start 2025-01-01 --end 2026-01-01 --dbn-root data/dbn/ohlcv_1m --raw-root data/raw --reports-root reports/raw_ingest --workers 1 --resume --offline-local-conditions,data/dbn/ohlcv_1m/KE/2025/*.dbn.zst; data/dbn/definition/KE/2025/*.dbn.zst; optional local status/statistics under data/dbn if present,data/raw/KE/2025.parquet; reports/raw_ingest/databento_convert_results.json,python -m scripts.phase1C_validate.audit_raw_dbn_alignment --config <bounded-profile> --profile <bounded-profile> --dbn-root data/dbn --raw-root data/raw --expected-only,data/raw/KE/2025.parquet exists and bounded Phase 1C alignment passes for KE:2025,medium: approved raw repair would write missing canonical output only; stop if output already exists or data status changes unexpectedly,Confirm canonical DBN ohlcv_1m and definition inputs exist before conversion; do not redownload without separate approval.,true,true,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml
repair,APPROVE_BOUNDED_REPAIR_LATER,phase1b_raw_parquet,KE,2026,scripts/phase1B_convert/convert_databento_raw.py,data/raw/KE/2026.parquet,data/raw/KE/2026.parquet,,parquet canonical output,canonical ohlcv_1m and definition DBN coverage reported present; confirm before conversion; no redownload approved,"bounded to one market/year, local DBN input roots, one-year date range, no redownload, no phase 3+",true,false,python -m scripts.phase1B_convert.convert_databento_raw --symbols KE --start 2026-01-01 --end 2027-01-01 --dbn-root data/dbn/ohlcv_1m --raw-root data/raw --reports-root reports/raw_ingest --workers 1 --resume --offline-local-conditions,data/dbn/ohlcv_1m/KE/2026/*.dbn.zst; data/dbn/definition/KE/2026/*.dbn.zst; optional local status/statistics under data/dbn if present,data/raw/KE/2026.parquet; reports/raw_ingest/databento_convert_results.json,python -m scripts.phase1C_validate.audit_raw_dbn_alignment --config <bounded-profile> --profile <bounded-profile> --dbn-root data/dbn --raw-root data/raw --expected-only,data/raw/KE/2026.parquet exists and bounded Phase 1C alignment passes for KE:2026,medium: approved raw repair would write missing canonical output only; stop if output already exists or data status changes unexpectedly,Confirm canonical DBN ohlcv_1m and definition inputs exist before conversion; do not redownload without separate approval.,true,true,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml
repair,APPROVE_BOUNDED_REPAIR_LATER,phase1b_raw_parquet,SR1,2025,scripts/phase1B_convert/convert_databento_raw.py,data/raw/SR1/2025.parquet,data/raw/SR1/2025.parquet,,parquet canonical output,canonical ohlcv_1m and definition DBN coverage reported present; confirm before conversion; no redownload approved,"bounded to one market/year, local DBN input roots, one-year date range, no redownload, no phase 3+",true,false,python -m scripts.phase1B_convert.convert_databento_raw --symbols SR1 --start 2025-01-01 --end 2026-01-01 --dbn-root data/dbn/ohlcv_1m --raw-root data/raw --reports-root reports/raw_ingest --workers 1 --resume --offline-local-conditions,data/dbn/ohlcv_1m/SR1/2025/*.dbn.zst; data/dbn/definition/SR1/2025/*.dbn.zst; optional local status/statistics under data/dbn if present,data/raw/SR1/2025.parquet; reports/raw_ingest/databento_convert_results.json,python -m scripts.phase1C_validate.audit_raw_dbn_alignment --config <bounded-profile> --profile <bounded-profile> --dbn-root data/dbn --raw-root data/raw --expected-only,data/raw/SR1/2025.parquet exists and bounded Phase 1C alignment passes for SR1:2025,medium: approved raw repair would write missing canonical output only; stop if output already exists or data status changes unexpectedly,Confirm canonical DBN ohlcv_1m and definition inputs exist before conversion; do not redownload without separate approval.,true,true,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml
repair,APPROVE_BOUNDED_REPAIR_LATER,phase1b_raw_parquet,SR1,2026,scripts/phase1B_convert/convert_databento_raw.py,data/raw/SR1/2026.parquet,data/raw/SR1/2026.parquet,,parquet canonical output,canonical ohlcv_1m and definition DBN coverage reported present; confirm before conversion; no redownload approved,"bounded to one market/year, local DBN input roots, one-year date range, no redownload, no phase 3+",true,false,python -m scripts.phase1B_convert.convert_databento_raw --symbols SR1 --start 2026-01-01 --end 2027-01-01 --dbn-root data/dbn/ohlcv_1m --raw-root data/raw --reports-root reports/raw_ingest --workers 1 --resume --offline-local-conditions,data/dbn/ohlcv_1m/SR1/2026/*.dbn.zst; data/dbn/definition/SR1/2026/*.dbn.zst; optional local status/statistics under data/dbn if present,data/raw/SR1/2026.parquet; reports/raw_ingest/databento_convert_results.json,python -m scripts.phase1C_validate.audit_raw_dbn_alignment --config <bounded-profile> --profile <bounded-profile> --dbn-root data/dbn --raw-root data/raw --expected-only,data/raw/SR1/2026.parquet exists and bounded Phase 1C alignment passes for SR1:2026,medium: approved raw repair would write missing canonical output only; stop if output already exists or data status changes unexpectedly,Confirm canonical DBN ohlcv_1m and definition inputs exist before conversion; do not redownload without separate approval.,true,true,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml
repair,APPROVE_BOUNDED_REPAIR_LATER,phase1b_raw_parquet,TN,2025,scripts/phase1B_convert/convert_databento_raw.py,data/raw/TN/2025.parquet,data/raw/TN/2025.parquet,,parquet canonical output,canonical ohlcv_1m and definition DBN coverage reported present; confirm before conversion; no redownload approved,"bounded to one market/year, local DBN input roots, one-year date range, no redownload, no phase 3+",true,false,python -m scripts.phase1B_convert.convert_databento_raw --symbols TN --start 2025-01-01 --end 2026-01-01 --dbn-root data/dbn/ohlcv_1m --raw-root data/raw --reports-root reports/raw_ingest --workers 1 --resume --offline-local-conditions,data/dbn/ohlcv_1m/TN/2025/*.dbn.zst; data/dbn/definition/TN/2025/*.dbn.zst; optional local status/statistics under data/dbn if present,data/raw/TN/2025.parquet; reports/raw_ingest/databento_convert_results.json,python -m scripts.phase1C_validate.audit_raw_dbn_alignment --config <bounded-profile> --profile <bounded-profile> --dbn-root data/dbn --raw-root data/raw --expected-only,data/raw/TN/2025.parquet exists and bounded Phase 1C alignment passes for TN:2025,medium: approved raw repair would write missing canonical output only; stop if output already exists or data status changes unexpectedly,Confirm canonical DBN ohlcv_1m and definition inputs exist before conversion; do not redownload without separate approval.,true,true,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml
repair,APPROVE_BOUNDED_REPAIR_LATER,phase1b_raw_parquet,TN,2026,scripts/phase1B_convert/convert_databento_raw.py,data/raw/TN/2026.parquet,data/raw/TN/2026.parquet,,parquet canonical output,canonical ohlcv_1m and definition DBN coverage reported present; confirm before conversion; no redownload approved,"bounded to one market/year, local DBN input roots, one-year date range, no redownload, no phase 3+",true,false,python -m scripts.phase1B_convert.convert_databento_raw --symbols TN --start 2026-01-01 --end 2027-01-01 --dbn-root data/dbn/ohlcv_1m --raw-root data/raw --reports-root reports/raw_ingest --workers 1 --resume --offline-local-conditions,data/dbn/ohlcv_1m/TN/2026/*.dbn.zst; data/dbn/definition/TN/2026/*.dbn.zst; optional local status/statistics under data/dbn if present,data/raw/TN/2026.parquet; reports/raw_ingest/databento_convert_results.json,python -m scripts.phase1C_validate.audit_raw_dbn_alignment --config <bounded-profile> --profile <bounded-profile> --dbn-root data/dbn --raw-root data/raw --expected-only,data/raw/TN/2026.parquet exists and bounded Phase 1C alignment passes for TN:2026,medium: approved raw repair would write missing canonical output only; stop if output already exists or data status changes unexpectedly,Confirm canonical DBN ohlcv_1m and definition inputs exist before conversion; do not redownload without separate approval.,true,true,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml
repair,APPROVE_BOUNDED_REPAIR_LATER,phase1b_raw_parquet,ZL,2025,scripts/phase1B_convert/convert_databento_raw.py,data/raw/ZL/2025.parquet,data/raw/ZL/2025.parquet,,parquet canonical output,canonical ohlcv_1m and definition DBN coverage reported present; confirm before conversion; no redownload approved,"bounded to one market/year, local DBN input roots, one-year date range, no redownload, no phase 3+",true,false,python -m scripts.phase1B_convert.convert_databento_raw --symbols ZL --start 2025-01-01 --end 2026-01-01 --dbn-root data/dbn/ohlcv_1m --raw-root data/raw --reports-root reports/raw_ingest --workers 1 --resume --offline-local-conditions,data/dbn/ohlcv_1m/ZL/2025/*.dbn.zst; data/dbn/definition/ZL/2025/*.dbn.zst; optional local status/statistics under data/dbn if present,data/raw/ZL/2025.parquet; reports/raw_ingest/databento_convert_results.json,python -m scripts.phase1C_validate.audit_raw_dbn_alignment --config <bounded-profile> --profile <bounded-profile> --dbn-root data/dbn --raw-root data/raw --expected-only,data/raw/ZL/2025.parquet exists and bounded Phase 1C alignment passes for ZL:2025,medium: approved raw repair would write missing canonical output only; stop if output already exists or data status changes unexpectedly,Confirm canonical DBN ohlcv_1m and definition inputs exist before conversion; do not redownload without separate approval.,true,true,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml
repair,APPROVE_BOUNDED_REPAIR_LATER,phase1b_raw_parquet,ZL,2026,scripts/phase1B_convert/convert_databento_raw.py,data/raw/ZL/2026.parquet,data/raw/ZL/2026.parquet,,parquet canonical output,canonical ohlcv_1m and definition DBN coverage reported present; confirm before conversion; no redownload approved,"bounded to one market/year, local DBN input roots, one-year date range, no redownload, no phase 3+",true,false,python -m scripts.phase1B_convert.convert_databento_raw --symbols ZL --start 2026-01-01 --end 2027-01-01 --dbn-root data/dbn/ohlcv_1m --raw-root data/raw --reports-root reports/raw_ingest --workers 1 --resume --offline-local-conditions,data/dbn/ohlcv_1m/ZL/2026/*.dbn.zst; data/dbn/definition/ZL/2026/*.dbn.zst; optional local status/statistics under data/dbn if present,data/raw/ZL/2026.parquet; reports/raw_ingest/databento_convert_results.json,python -m scripts.phase1C_validate.audit_raw_dbn_alignment --config <bounded-profile> --profile <bounded-profile> --dbn-root data/dbn --raw-root data/raw --expected-only,data/raw/ZL/2026.parquet exists and bounded Phase 1C alignment passes for ZL:2026,medium: approved raw repair would write missing canonical output only; stop if output already exists or data status changes unexpectedly,Confirm canonical DBN ohlcv_1m and definition inputs exist before conversion; do not redownload without separate approval.,true,true,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml
repair,APPROVE_BOUNDED_REPAIR_LATER,phase1b_raw_parquet,ZM,2025,scripts/phase1B_convert/convert_databento_raw.py,data/raw/ZM/2025.parquet,data/raw/ZM/2025.parquet,,parquet canonical output,canonical ohlcv_1m and definition DBN coverage reported present; confirm before conversion; no redownload approved,"bounded to one market/year, local DBN input roots, one-year date range, no redownload, no phase 3+",true,false,python -m scripts.phase1B_convert.convert_databento_raw --symbols ZM --start 2025-01-01 --end 2026-01-01 --dbn-root data/dbn/ohlcv_1m --raw-root data/raw --reports-root reports/raw_ingest --workers 1 --resume --offline-local-conditions,data/dbn/ohlcv_1m/ZM/2025/*.dbn.zst; data/dbn/definition/ZM/2025/*.dbn.zst; optional local status/statistics under data/dbn if present,data/raw/ZM/2025.parquet; reports/raw_ingest/databento_convert_results.json,python -m scripts.phase1C_validate.audit_raw_dbn_alignment --config <bounded-profile> --profile <bounded-profile> --dbn-root data/dbn --raw-root data/raw --expected-only,data/raw/ZM/2025.parquet exists and bounded Phase 1C alignment passes for ZM:2025,medium: approved raw repair would write missing canonical output only; stop if output already exists or data status changes unexpectedly,Confirm canonical DBN ohlcv_1m and definition inputs exist before conversion; do not redownload without separate approval.,true,true,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml
repair,APPROVE_BOUNDED_REPAIR_LATER,phase1b_raw_parquet,ZM,2026,scripts/phase1B_convert/convert_databento_raw.py,data/raw/ZM/2026.parquet,data/raw/ZM/2026.parquet,,parquet canonical output,canonical ohlcv_1m and definition DBN coverage reported present; confirm before conversion; no redownload approved,"bounded to one market/year, local DBN input roots, one-year date range, no redownload, no phase 3+",true,false,python -m scripts.phase1B_convert.convert_databento_raw --symbols ZM --start 2026-01-01 --end 2027-01-01 --dbn-root data/dbn/ohlcv_1m --raw-root data/raw --reports-root reports/raw_ingest --workers 1 --resume --offline-local-conditions,data/dbn/ohlcv_1m/ZM/2026/*.dbn.zst; data/dbn/definition/ZM/2026/*.dbn.zst; optional local status/statistics under data/dbn if present,data/raw/ZM/2026.parquet; reports/raw_ingest/databento_convert_results.json,python -m scripts.phase1C_validate.audit_raw_dbn_alignment --config <bounded-profile> --profile <bounded-profile> --dbn-root data/dbn --raw-root data/raw --expected-only,data/raw/ZM/2026.parquet exists and bounded Phase 1C alignment passes for ZM:2026,medium: approved raw repair would write missing canonical output only; stop if output already exists or data status changes unexpectedly,Confirm canonical DBN ohlcv_1m and definition inputs exist before conversion; do not redownload without separate approval.,true,true,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml
