canonical_folder_or_path,schema,phase,market,year,pair,issue_type,policy_status,previous_classification,final_decision,cleanup_decision,decision_rationale,evidence_source,evidence_detail,next_action_needed,cleanup_gate_remains_blocked
data/dbn/ohlcv_1m,ohlcv-1m,phase1A_source_ohlcv,TN,2010,TN:2010,extra_pair,allowed_extra,EXPLICITLY_DEFERRED_POLICY_GAP,EXPLICITLY_DEFERRED_POLICY_GAP,cleanup_blocked_until_policy_review,extra historical DBN pair is explicitly allowed by configs/data_manifest.yaml while cleanup remains disabled,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml,present in filename inventory but outside manifest expected range,Keep as source evidence or approve a documented cleanup policy later,true
data/dbn/ohlcv_1m,ohlcv-1m,phase1A_source_ohlcv,TN,2011,TN:2011,extra_pair,allowed_extra,EXPLICITLY_DEFERRED_POLICY_GAP,EXPLICITLY_DEFERRED_POLICY_GAP,cleanup_blocked_until_policy_review,extra historical DBN pair is explicitly allowed by configs/data_manifest.yaml while cleanup remains disabled,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml,present in filename inventory but outside manifest expected range,Keep as source evidence or approve a documented cleanup policy later,true
data/dbn/ohlcv_1m,ohlcv-1m,phase1A_source_ohlcv,TN,2012,TN:2012,extra_pair,allowed_extra,EXPLICITLY_DEFERRED_POLICY_GAP,EXPLICITLY_DEFERRED_POLICY_GAP,cleanup_blocked_until_policy_review,extra historical DBN pair is explicitly allowed by configs/data_manifest.yaml while cleanup remains disabled,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml,present in filename inventory but outside manifest expected range,Keep as source evidence or approve a documented cleanup policy later,true
data/dbn/ohlcv_1m,ohlcv-1m,phase1A_source_ohlcv,ZL,2010,ZL:2010,extra_pair,allowed_extra,EXPLICITLY_DEFERRED_POLICY_GAP,EXPLICITLY_DEFERRED_POLICY_GAP,cleanup_blocked_until_policy_review,extra historical DBN pair is explicitly allowed by configs/data_manifest.yaml while cleanup remains disabled,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml,present in filename inventory but outside manifest expected range,Keep as source evidence or approve a documented cleanup policy later,true
data/dbn/ohlcv_1m,ohlcv-1m,phase1A_source_ohlcv,ZM,2010,ZM:2010,extra_pair,allowed_extra,EXPLICITLY_DEFERRED_POLICY_GAP,EXPLICITLY_DEFERRED_POLICY_GAP,cleanup_blocked_until_policy_review,extra historical DBN pair is explicitly allowed by configs/data_manifest.yaml while cleanup remains disabled,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml,present in filename inventory but outside manifest expected range,Keep as source evidence or approve a documented cleanup policy later,true
data/dbn/ohlcv_1m,ohlcv-1m,phase1A_source_ohlcv,6M,2026,6M:2026,duplicate_pair,known_duplicate_policy_deferred,DUPLICATE_POLICY_DEFERRED,DUPLICATE_MERGE_APPROVAL_REQUIRED,cleanup_blocked_pending_duplicate_merge_or_quarantine_approval,duplicate DBN files are inside canonical schema roots; path evidence alone does not prove either file is discardable,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml,data/dbn/ohlcv_1m/6M/2026/2026-01-01_2026-06-13.dbn.zst;data/dbn/ohlcv_1m/6M/2026/2026-06-12_2026-06-13.dbn.zst,Approve duplicate content review and merge/quarantine decision before any cleanup action,true
data/dbn/ohlcv_1s,ohlcv-1s,phase1A_source_ohlcv,TN,2010,TN:2010,extra_pair,allowed_extra,EXPLICITLY_DEFERRED_POLICY_GAP,EXPLICITLY_DEFERRED_POLICY_GAP,cleanup_blocked_until_policy_review,extra historical DBN pair is explicitly allowed by configs/data_manifest.yaml while cleanup remains disabled,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml,present in filename inventory but outside manifest expected range,Keep as source evidence or approve a documented cleanup policy later,true
data/dbn/ohlcv_1s,ohlcv-1s,phase1A_source_ohlcv,TN,2011,TN:2011,extra_pair,allowed_extra,EXPLICITLY_DEFERRED_POLICY_GAP,EXPLICITLY_DEFERRED_POLICY_GAP,cleanup_blocked_until_policy_review,extra historical DBN pair is explicitly allowed by configs/data_manifest.yaml while cleanup remains disabled,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml,present in filename inventory but outside manifest expected range,Keep as source evidence or approve a documented cleanup policy later,true
data/dbn/ohlcv_1s,ohlcv-1s,phase1A_source_ohlcv,TN,2012,TN:2012,extra_pair,allowed_extra,EXPLICITLY_DEFERRED_POLICY_GAP,EXPLICITLY_DEFERRED_POLICY_GAP,cleanup_blocked_until_policy_review,extra historical DBN pair is explicitly allowed by configs/data_manifest.yaml while cleanup remains disabled,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml,present in filename inventory but outside manifest expected range,Keep as source evidence or approve a documented cleanup policy later,true
data/dbn/ohlcv_1s,ohlcv-1s,phase1A_source_ohlcv,ZL,2010,ZL:2010,extra_pair,allowed_extra,EXPLICITLY_DEFERRED_POLICY_GAP,EXPLICITLY_DEFERRED_POLICY_GAP,cleanup_blocked_until_policy_review,extra historical DBN pair is explicitly allowed by configs/data_manifest.yaml while cleanup remains disabled,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml,present in filename inventory but outside manifest expected range,Keep as source evidence or approve a documented cleanup policy later,true
